Model_ID	Category	Class	Type	Model_Name	Description	Source	Reference
1	In vitro	Cell line	Tumor-derived cell line	HepG2	Human hepatocellular carcinoma cell line	Human	26126685
2	In vitro	Cell line	Tumor-derived cell line	HepG2/C3A	Clonal derivative of HepG2	Human	18539427
3	In vitro	Cell line	Tumor-derived cell line	HepaRG	Human hepatocellular carcinoma cell line	Human	30307041
4	In vitro	Cell line	Primary cell line	L02	Human fetal liver cell line	Human	23498809
5	In vitro	Cell line	Tumor-derived cell line	Huh7	Human hepatocellular carcinoma cell line	Human	30098284
6	In vitro	Cell line	Tumor-derived cell line	Hepa1c1c7	Mouse hepatocellular carcinoma cell line	Mouse	17110078
7	In vitro	Cell line	Primary cell line	AML-12	Mouse liver cell line	Mouse	7904757
8	In vitro	Cell line	Tumor-derived cell line	Hepa1-6	Mouse carcinoma cell line	Mouse	33006712
9	In vitro	Cell line	Primary cell line	RAW264.7	Mouse monocyte/macrophage-like cells	Mouse	25130606
10	In vitro	Cell line	Primary cell line	Bone marrow-derived macrophages	Mouse primary macrophage cells	Mouse	21356739
11	In vitro	Cell line	Primary cell line	LX-2	Hepatic stellate cells (HSCs) from normal liver	Human	17289342
12	In vitro	Cell line	Primary cell line	T6 stellate cells	Rat primary HSCs from liver cell line	Rat	17289342
13	In vitro	Cell line	Primary cell line	Primary cell lines	Primary hepatocytes; Primary KC; Primary HSC	Human	30098284
14	In vitro	Cell line	Primary cell line	3T3-L1 MBX	Mouse fibroblast	Mouse	30905315
15	In vitro	Cell line	Primary cell line	3T3-J2	Embryonic mouse fibroblast	Mouse	33590212
16	In vitro	Cell line	Primary cell line	Liver sinusoidal endothelial cells (LSEC)	Primary human cell line	Human	30307041
17	In vitro	Cell line	Primary cell line	Human umbilical vein endothelial cells (HUVEC)	Human non-pathological tissue	Human	30307041
18	In vitro	Cell line	Tumor-derived cell line	Caco-2	Human epithelial cells from colorectal adenocarcinoma	Human	30277794
19	In vitro	Cell line	Primary cell line	NCTC-1469	Mouse NPC from liver cell line	Mouse	20807545
20	In vitro	Cell line	Pluripotent stem cell	Pluripotent stem cells (PSC)	Stem cells that can differentiate into endoderm, mesoderm or ectoderm	Human	33374435
21	In vitro	Cell culture	Monoculture	Hepatocyte-like cells	Hepatocyte-like cells (HLCs) derived from human embryonic stem cells	Human	29786565
22	In vitro	Cell culture	Monoculture	Human pluripotent stem cell	Human pluripotent stem cell (hPSC)-derived model of hepatic steatosis	Human	33409477
23	In vitro	Cell culture	Co-culture	Huh7/LX-2	Co-culture of the human hepatocyte cell line (HuH7) and HSC cells (LX2)	Human	26187275
24	In vitro	Cell culture	Co-culture	Macrophages	Co-cultures including macrophages	Human	30824190
25	In vitro	Cell culture	Co-culture	hiPSC-Hep	Co-cultures of human induced pluripotent stem cell-derived hepatocytes (hiPSC-Hep)	Human	30254132
26	In vitro	Cell culture	Collagen gel sandwich	Hepatic collagen gel sandwich	Extended primary culture of human hepatocytes in a collagen gel sandwich system	Human	9201515
27	In vitro	Tissue culture	Spheroid	HepG2 spheroid	Fat-loaded HepG2 spheroids	Human	17211854
28	In vivo	Animal	Monkey	Aged rhesus monkeys	Rhesus monkeys with and without metabolic syndrome (MetS)	Monkey	30214501
29	In vitro	Tissue culture	Spheroid	PHH spheroid	Primary human hepatocytes (PHH) from different donors were cultured as spheroid microtissues in physiological in vivo -like culture conditions	Human	30250238
